Plot_ID,Biomass,Area,Year,Frame,Per.Grass,Per.Forb,Per.Bare,Per.Litter,Per.Live,LitterMass,Biomass.per.area,Litter.per.area,Ecosystem,Water,Nitrogen,Treated_2015_2020
G01RXX,5.02,0.14,2007,1,NA,NA,NA,NA,NA,NA,35.857142857142854,NA,Grassland,Ambient,Ambient,0
G01LXN,1.04,0.14,2007,1,NA,NA,NA,NA,NA,NA,7.428571428571428,NA,Grassland,Ambient,Nitrogen,0
G02RAN,13.91,0.14,2007,1,NA,NA,NA,NA,NA,NA,99.35714285714285,NA,Grassland,Added,Nitrogen,0
G02LAX,22.95,0.14,2007,1,NA,NA,NA,NA,NA,NA,163.92857142857142,NA,Grassland,Added,Ambient,0
G03RRN,1.74,0.14,2007,1,NA,NA,NA,NA,NA,NA,12.428571428571427,NA,Grassland,Reduced,Nitrogen,0
G03LRX,1.9,0.14,2007,1,NA,NA,NA,NA,NA,NA,13.57142857142857,NA,Grassland,Reduced,Ambient,0
G04RXN,3.07,0.14,2007,1,NA,NA,NA,NA,NA,NA,21.928571428571427,NA,Grassland,Ambient,Nitrogen,1
G04LXX,2.36,0.14,2007,1,NA,NA,NA,NA,NA,NA,16.857142857142854,NA,Grassland,Ambient,Ambient,1
G05RRX,0.85,0.14,2007,1,NA,NA,NA,NA,NA,NA,6.07142857142857,NA,Grassland,Reduced,Ambient,1
G05LRN,0.19,0.14,2007,1,NA,NA,NA,NA,NA,NA,1.357142857142857,NA,Grassland,Reduced,Nitrogen,1
G06RAX,11.8729,0.14,2007,1,NA,NA,NA,NA,NA,NA,84.80642857142855,NA,Grassland,Added,Ambient,1
G06LAN,16.4443,0.14,2007,1,NA,NA,NA,NA,NA,NA,117.45928571428568,NA,Grassland,Added,Nitrogen,1
G07RRN,1.3248,0.14,2007,1,NA,NA,NA,NA,NA,NA,9.462857142857143,NA,Grassland,Reduced,Nitrogen,1
G07LRX,0.82,0.14,2007,1,NA,NA,NA,NA,NA,NA,5.857142857142856,NA,Grassland,Reduced,Ambient,1
G08RXN,3.87,0.14,2007,1,NA,NA,NA,NA,NA,NA,27.642857142857142,NA,Grassland,Ambient,Nitrogen,1
G08LXX,8.73,0.14,2007,1,NA,NA,NA,NA,NA,NA,62.357142857142854,NA,Grassland,Ambient,Ambient,1
G09RAN,16.8321,0.14,2007,1,NA,NA,NA,NA,NA,NA,120.22928571428571,NA,Grassland,Added,Nitrogen,1
G09LAX,30.16,0.14,2007,1,NA,NA,NA,NA,NA,NA,215.42857142857142,NA,Grassland,Added,Ambient,1
G10RAN,10.2,0.14,2007,1,NA,NA,NA,NA,NA,NA,72.85714285714285,NA,Grassland,Added,Nitrogen,0
G10LAX,10.96,0.14,2007,1,NA,NA,NA,NA,NA,NA,78.28571428571428,NA,Grassland,Added,Ambient,0
G12RRX,2.18,0.14,2007,1,NA,NA,NA,NA,NA,NA,15.571428571428571,NA,Grassland,Reduced,Ambient,0
G12LRN,0.45,0.14,2007,1,NA,NA,NA,NA,NA,NA,3.214285714285714,NA,Grassland,Reduced,Nitrogen,0
G13RXX,3.82,0.14,2007,1,NA,NA,NA,NA,NA,NA,27.28571428571428,NA,Grassland,Ambient,Ambient,0
G13LXN,4.03,0.14,2007,1,NA,NA,NA,NA,NA,NA,28.785714285714285,NA,Grassland,Ambient,Nitrogen,0
G14RAN,15.29,0.14,2007,1,NA,NA,NA,NA,NA,NA,109.2142857142857,NA,Grassland,Added,Nitrogen,0
G14LAX,17.6,0.14,2007,1,NA,NA,NA,NA,NA,NA,125.71428571428571,NA,Grassland,Added,Ambient,0
G15RRX,8.1,0.14,2007,1,NA,NA,NA,NA,NA,NA,57.85714285714285,NA,Grassland,Reduced,Ambient,0
G15LRN,1,0.14,2007,1,NA,NA,NA,NA,NA,NA,7.142857142857142,NA,Grassland,Reduced,Nitrogen,0
G16RRX,1.16,0.14,2007,1,NA,NA,NA,NA,NA,NA,8.285714285714285,NA,Grassland,Reduced,Ambient,0
G16LRN,0.81,0.14,2007,1,NA,NA,NA,NA,NA,NA,5.785714285714286,NA,Grassland,Reduced,Nitrogen,0
G17RXX,4.2,0.14,2007,1,NA,NA,NA,NA,NA,NA,30,NA,Grassland,Ambient,Ambient,0
G17LXN,2.3648,0.14,2007,1,NA,NA,NA,NA,NA,NA,16.89142857142857,NA,Grassland,Ambient,Nitrogen,0
G18RAX,25.85,0.14,2007,1,NA,NA,NA,NA,NA,NA,184.64285714285714,NA,Grassland,Added,Ambient,0
G18LAN,20.24,0.14,2007,1,NA,NA,NA,NA,NA,NA,144.57142857142856,NA,Grassland,Added,Nitrogen,0
G20RXX,6.35,0.14,2007,1,NA,NA,NA,NA,NA,NA,45.35714285714285,NA,Grassland,Ambient,Ambient,0
G20LXN,4.47,0.14,2007,1,NA,NA,NA,NA,NA,NA,31.928571428571423,NA,Grassland,Ambient,Nitrogen,0
G21RXN,4.76,0.14,2007,1,NA,NA,NA,NA,NA,NA,33.99999999999999,NA,Grassland,Ambient,Nitrogen,0
G21LXX,5.65,0.14,2007,1,NA,NA,NA,NA,NA,NA,40.357142857142854,NA,Grassland,Ambient,Ambient,0
G22RRN,0.7465,0.14,2007,1,NA,NA,NA,NA,NA,NA,5.332142857142857,NA,Grassland,Reduced,Nitrogen,0
G22LRX,1.67,0.14,2007,1,NA,NA,NA,NA,NA,NA,11.928571428571427,NA,Grassland,Reduced,Ambient,0
G23RRN,5.0488,0.14,2007,1,NA,NA,NA,NA,NA,NA,36.06285714285714,NA,Grassland,Reduced,Nitrogen,0
G23LRX,0.79,0.14,2007,1,NA,NA,NA,NA,NA,NA,5.642857142857142,NA,Grassland,Reduced,Ambient,0
G24RXN,1.7,0.14,2007,1,NA,NA,NA,NA,NA,NA,12.14285714285714,NA,Grassland,Ambient,Nitrogen,0
G24LXX,0.79,0.14,2007,1,NA,NA,NA,NA,NA,NA,5.642857142857142,NA,Grassland,Ambient,Ambient,0
G25RAN,9.2,0.14,2007,1,NA,NA,NA,NA,NA,NA,65.71428571428571,NA,Grassland,Added,Nitrogen,0
